,timestamp,WALL_STREE.text_COUNT_pre_post1days:google,WALL_STREE.text_pre_post1days:google,date,news_list,news_count,sentiment
0,1483228800,0,[],31.12.2016 18:00:00,[],0,0
1,1483315200,0,[],01.01.2017 18:00:00,[],0,0
2,1483401600,0,[],02.01.2017 18:00:00,[],0,0
3,1483488000,0,[],03.01.2017 18:00:00,[],0,0
4,1483574400,0,[],04.01.2017 18:00:00,[],0,0
5,1483660800,0,[],05.01.2017 18:00:00,[],0,0
6,1483747200,0,[],06.01.2017 18:00:00,[],0,0
7,1483833600,0,[],07.01.2017 18:00:00,[],0,0
8,1483920000,0,[],08.01.2017 18:00:00,[],0,0
9,1484006400,0,[],09.01.2017 18:00:00,[],0,0
10,1484092800,0,[],10.01.2017 18:00:00,[],0,0
11,1484179200,0,[],11.01.2017 18:00:00,[],0,0
12,1484265600,0,[],12.01.2017 18:00:00,[],0,0
13,1484352000,0,[],13.01.2017 18:00:00,[],0,0
14,1484438400,0,[],14.01.2017 18:00:00,[],0,0
15,1484524800,0,[],15.01.2017 18:00:00,[],0,0
16,1484611200,0,[],16.01.2017 18:00:00,[],0,0
17,1484697600,0,[],17.01.2017 18:00:00,[],0,0
18,1484784000,0,[],18.01.2017 18:00:00,[],0,0
19,1484870400,0,[],19.01.2017 18:00:00,[],0,0
20,1484956800,0,[],20.01.2017 18:00:00,[],0,0
21,1485043200,0,[],21.01.2017 18:00:00,[],0,0
22,1485129600,0,[],22.01.2017 18:00:00,[],0,0
23,1485216000,0,[],23.01.2017 18:00:00,[],0,0
24,1485302400,1,['google has a messaging app problem'],24.01.2017 18:00:00,['google has a messaging app problem'],1,-1
25,1485388800,0,[],25.01.2017 18:00:00,[],0,0
26,1485475200,1,['google parent alphabet reports jump in earnings'],26.01.2017 18:00:00,['google parent alphabet reports jump in earnings'],1,1
27,1485561600,0,[],27.01.2017 18:00:00,[],0,0
28,1485648000,2,"['google chief sundar pichai criticizes trump over immigration order ', 'google ceo sundar pichai criticized trumps immigration order in a staff email']",28.01.2017 18:00:00,"['google chief sundar pichai criticizes trump over immigration order ', 'google ceo sundar pichai criticized trumps immigration order in a staff email']",2,0
29,1485734400,0,[],29.01.2017 18:00:00,[],0,0
30,1485820800,0,[],30.01.2017 18:00:00,[],0,0
31,1485907200,0,[],31.01.2017 18:00:00,[],0,0
32,1485993600,1,['the cloud public private hybridwhats best for your business hear from googlecloud svp diane greene at wsjcio '],01.02.2017 18:00:00,['the cloud public private hybridwhats best for your business hear from googlecloud svp diane greene at wsjcio '],1,0
33,1486080000,0,[],02.02.2017 18:00:00,[],0,0
34,1486166400,0,[],03.02.2017 18:00:00,[],0,0
35,1486252800,0,[],04.02.2017 18:00:00,[],0,0
36,1486339200,1,['tech giants could make visa reform work'],05.02.2017 18:00:00,['tech giants could make visa reform work'],1,1
37,1486425600,1,"['facebook, google step up efforts to stop fake news in pivotal year for european politics']",06.02.2017 18:00:00,"['facebook, google step up efforts to stop fake news in pivotal year for european politics']",1,1
38,1486512000,1,['how to replace your cars voicecontrol navigation and music with google and siri '],07.02.2017 18:00:00,['how to replace your cars voicecontrol navigation and music with google and siri '],1,0
39,1486598400,0,[],08.02.2017 18:00:00,[],0,0
40,1486684800,0,[],09.02.2017 18:00:00,[],0,0
41,1486771200,0,[],10.02.2017 18:00:00,[],0,0
42,1486857600,0,[],11.02.2017 18:00:00,[],0,0
43,1486944000,0,[],12.02.2017 18:00:00,[],0,0
44,1487030400,0,[],13.02.2017 18:00:00,[],0,0
45,1487116800,0,[],14.02.2017 18:00:00,[],0,0
46,1487203200,0,[],15.02.2017 18:00:00,[],0,0
47,1487289600,0,[],16.02.2017 18:00:00,[],0,0
48,1487376000,0,[],17.02.2017 18:00:00,[],0,0
49,1487462400,0,[],18.02.2017 18:00:00,[],0,0
50,1487548800,0,[],19.02.2017 18:00:00,[],0,0
51,1487635200,0,[],20.02.2017 18:00:00,[],0,0
